,channels,discretization,average,accuracy,f1,fbeta,precision,recall,bci_accuracy,itr,tp,tn,fp,fn,balanced_accuracy
0,1,35,1,0.6789,0.2571,0.199,0.173,0.5,0.12,2.9713228303980856,50,561,239,50,0.5455886600331863
1,1,35,2,0.7844,0.366,0.303,0.2718,0.56,0.16,2.870143071406428,28,325,75,22,0.6042220419126494
2,1,35,4,0.84,0.5135,0.4299,0.3878,0.76,0.2,2.2717302730269395,19,170,30,6,0.6768320964749537
3,1,35,6,0.906,0.6316,0.5769,0.5455,0.75,0.2,1.5144868486846264,12,123,10,4,0.7569792412312097
4,1,35,8,0.9107,0.6667,0.5952,0.5556,0.8333,0.2,1.1358651365134698,10,92,8,2,0.7671394799054374
5,4,35,1,0.7733,0.2609,0.2239,0.2045,0.36,0.1,1.849872074906796,36,660,140,64,0.558073832245103
6,4,35,2,0.84,0.4375,0.3867,0.359,0.56,0.32,10.903450601717187,28,350,50,22,0.6499172870140613
7,4,35,4,0.8933,0.6129,0.5491,0.5135,0.76,0.5,11.70556369244102,19,182,18,6,0.7407993099482462
8,4,35,6,0.906,0.6316,0.5769,0.5455,0.75,0.2,1.5144868486846264,12,123,10,4,0.7569792412312097
9,4,35,8,0.9464,0.7857,0.7237,0.6875,0.9167,0.2,1.1358651365134698,11,95,5,1,0.8385416666666667
10,8,35,1,0.8211,0.2715,0.2568,0.2479,0.3,0.06,0.3009749318788539,30,709,91,70,0.5790375454863727
11,8,35,2,0.8644,0.4696,0.4355,0.4154,0.54,0.12,1.4856614151990428,27,362,38,23,0.6778221778221778
12,8,35,4,0.92,0.6538,0.6391,0.6296,0.68,0.3,4.860740001950092,17,190,10,8,0.7946127946127945
13,8,35,6,0.9195,0.6842,0.625,0.5909,0.8125,0.4,5.353739315689691,13,124,9,3,0.7836435218324982
14,8,35,8,0.9554,0.8,0.7812,0.7692,0.8333,0.6,7.932337585218177,10,97,3,2,0.8745143745143745
15,16,35,1,0.8478,0.2974,0.3021,0.3053,0.29,0.04,0.0057727888534901,29,734,66,71,0.6085322000653809
16,16,35,2,0.8578,0.4667,0.4242,0.4,0.56,0.2,4.543460546053879,28,358,42,22,0.6710526315789473
17,16,35,4,0.9378,0.7308,0.7143,0.7037,0.76,0.2,2.2717302730269395,19,192,8,6,0.8367003367003367
18,16,35,6,0.9262,0.6857,0.6522,0.6316,0.75,0.6,10.576450113624237,12,126,7,4,0.8004048582995951
19,16,35,8,0.9286,0.6923,0.6618,0.6429,0.75,0.6,7.932337585218177,9,95,5,3,0.8061224489795918
20,1,60,1,0.71,0.2115,0.1709,0.1515,0.35,0.08,0.943459042379698,35,604,196,65,0.527177605652942
21,1,60,2,0.7578,0.3626,0.2903,0.2562,0.62,0.12,1.4856614151990428,31,310,90,19,0.5992237936145093
22,1,60,4,0.8356,0.4638,0.398,0.3636,0.64,0.2,2.2717302730269395,16,172,28,9,0.6569563033651431
23,1,60,6,0.8859,0.5641,0.5093,0.4783,0.6875,0.2,1.5144868486846264,11,121,12,5,0.7192891649413389
24,1,60,8,0.875,0.5333,0.4762,0.4444,0.6667,0.4,4.015304486767269,8,90,10,4,0.7009456264775413
