,subject,channels,discretization,average,accuracy,balanced_accuracy,f1,fbeta,precision,recall,bci_accuracy,itr,tp,tn,fp,fn
0,ak,8,35,8,0.9642857313156128,0.9807692170143127,0.800000011920929,0.9090909361839294,1.0,0.6666666865348816,0.4,4.015304486767269,8,100,0,4
1,as,8,35,8,0.9727272987365723,0.9444444179534912,0.8695651888847351,0.8928571343421936,0.9090909361839294,0.8333333134651184,0.2,1.1358651365134698,10,97,1,2
2,az,8,35,8,0.9369369149208069,0.8308477401733398,0.7200000286102295,0.703125,0.692307710647583,0.75,0.2,1.1358651365134698,9,95,4,3
3,dad,8,35,8,0.9639639854431152,0.9351484775543213,0.8181818127632141,0.8653846383094788,0.8999999761581421,0.75,0.2,1.1358651365134698,9,98,1,3
4,dkv,8,35,8,0.9819819927215576,0.9900990128517151,0.9090909361839294,0.9615384340286255,1.0,0.8333333134651184,0.4,4.015304486767269,10,99,0,2
5,ds,8,35,8,0.9464285969734192,0.9134615659713745,0.699999988079071,0.7954545617103577,0.875,0.5833333134651184,0.0,0.0,7,99,1,5
6,dsi,8,35,8,0.9369369149208069,0.8643790483474731,0.6666666865348816,0.7291666865348816,0.7777777910232544,0.5833333134651184,0.0,0.0,7,97,2,5
7,dzg,8,35,8,0.9285714030265808,0.8461538553237915,0.6000000238418579,0.6818181872367859,0.75,0.5,0.0,0.0,6,98,2,6
8,tp,8,35,8,0.9464285969734192,0.8600000143051147,0.75,0.75,0.75,0.75,0.2,1.1358651365134698,9,97,3,3
9,ik,8,35,8,0.9732142686843872,0.9446444511413574,0.8695651888847351,0.8928571343421936,0.9090909361839294,0.8333333134651184,0.6,7.932337585218177,10,99,1,2
