,accuracy,balanced_accuracy,f1,precision,recall,fbeta,model,sampling,tn,fp,fn,tp,itr,bci_accuracy,channels,discretization,epochs
0,0.8877777777777778,0.5081249999999999,0.03809523809523809,0.4,0.02,0.08333333333333333,LDA,real,797,3,98,2,0.0,0.0,1,32,1
1,0.7733333333333333,0.53125,0.17741935483870966,0.14864864864864866,0.22,0.15895953757225437,SVM,real,674,126,78,22,0.005772788853490122,0.04,1,32,1
2,0.8888888888888888,0.5,0.0,0.0,0.0,,RF_untuned,real,800,0,100,0,0.0,0.0,1,32,1
3,0.8888888888888888,0.5,0.0,0.0,0.0,,RF,real,800,0,100,0,0.0,0.0,1,32,1
4,0.8811111111111111,0.5,0.01834862385321101,0.1111111111111111,0.01,0.03676470588235294,XGB_untuned,real,792,8,99,1,0.0,0.0,1,32,1
5,0.8766666666666667,0.519375,0.09756097560975609,0.2608695652173913,0.06,0.15624999999999997,XGB,real,783,17,94,6,0.0,0.0,1,32,1
6,0.8833333333333333,0.505625,0.03669724770642202,0.2222222222222222,0.02,0.07352941176470588,LGB_untuned,real,793,7,98,2,0.0,0.0,1,32,1
7,0.8811111111111111,0.50875,0.05309734513274337,0.23076923076923078,0.03,0.09868421052631579,LGB,real,790,10,97,3,0.0,0.0,1,32,1
8,0.89,0.505,0.019801980198019802,1.0,0.01,0.04807692307692308,CatBoost_untuned,real,800,0,99,1,0.0,0.0,1,32,1
9,0.8933333333333333,0.59,0.29411764705882354,0.5555555555555556,0.2,0.4098360655737705,LDA,real,392,8,40,10,0.002886394426745061,0.04,1,32,2
10,0.8533333333333334,0.64625,0.3653846153846154,0.35185185185185186,0.38,0.35714285714285715,SVM,real,365,35,31,19,0.0,0.0,1,32,2
11,0.8933333333333333,0.52875,0.1111111111111111,0.75,0.06,0.22727272727272727,RF_untuned,real,399,1,47,3,0.0,0.0,1,32,2
12,0.8888888888888888,0.5,0.0,0.0,0.0,,RF,real,400,0,50,0,0.0,0.0,1,32,2
13,0.8911111111111111,0.58875,0.28985507246376807,0.5263157894736842,0.2,0.39682539682539675,XGB_untuned,real,391,9,40,10,0.0,0.0,1,32,2
14,0.8755555555555555,0.5974999999999999,0.3,0.4,0.24,0.35294117647058826,XGB,real,382,18,38,12,0.002886394426745061,0.04,1,32,2
15,0.8977777777777778,0.58375,0.28124999999999994,0.6428571428571429,0.18,0.42452830188679247,LGB_untuned,real,395,5,41,9,0.002886394426745061,0.04,1,32,2
16,0.8977777777777778,0.61,0.34285714285714286,0.6,0.24,0.4615384615384615,LGB,real,392,8,38,12,0.0,0.0,1,32,2
17,0.8933333333333333,0.56375,0.22580645161290325,0.5833333333333334,0.14,0.35714285714285715,CatBoost_untuned,real,395,5,43,7,0.0,0.0,1,32,2
18,0.9244444444444444,0.7475,0.6046511627906976,0.7222222222222222,0.52,0.6701030927835051,LDA,real,195,5,12,13,2.2717302730269395,0.2,1,32,4
19,0.9244444444444444,0.765,0.6222222222222222,0.7,0.56,0.6666666666666666,SVM,real,194,6,11,14,2.2717302730269395,0.2,1,32,4
20,0.9155555555555556,0.6375,0.42424242424242425,0.875,0.28,0.6140350877192983,RF_untuned,real,199,1,18,7,0.462468018726699,0.1,1,32,4
21,0.9155555555555556,0.62,0.3870967741935484,1.0,0.24,0.6122448979591837,RF,real,200,0,19,6,0.462468018726699,0.1,1,32,4
22,0.9555555555555556,0.8,0.7499999999999999,1.0,0.6,0.8823529411764706,XGB_untuned,real,200,0,10,15,0.462468018726699,0.1,1,32,4
23,0.9333333333333333,0.77,0.6511627906976745,0.7777777777777778,0.56,0.7216494845360826,XGB,real,196,4,11,14,2.2717302730269395,0.2,1,32,4
