,accuracy,balanced_accuracy,f1,precision,recall,fbeta,model,sampling,tn,fp,fn,tp,itr,bci_accuracy,channels,discretization,epochs,subject
0,0.9821428571428571,0.9533333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,SVM,over,99,1,1,11,7.932337585218177,0.6,8,32,8,ak
1,0.9464285714285714,0.9333333333333333,0.7857142857142857,0.6875,0.9166666666666666,0.7236842105263158,XGB_untuned,over,95,5,1,11,7.932337585218177,0.6,8,32,8,ak
2,0.9553571428571429,0.8283333333333334,0.761904761904762,0.8888888888888888,0.6666666666666666,0.8333333333333334,LDA,over,99,1,4,8,4.015304486767269,0.4,8,32,8,ak
0,0.9363636363636364,0.8545918367346939,0.7199999999999999,0.6923076923076923,0.75,0.703125,SVM,over,94,4,3,9,4.015304486767269,0.4,8,32,8,as
1,0.9181818181818182,0.8078231292517006,0.64,0.6153846153846154,0.6666666666666666,0.625,XGB_untuned,over,93,5,4,8,0.0,0.0,8,32,8,as
2,0.9454545454545454,0.8231292517006803,0.7272727272727272,0.8,0.6666666666666666,0.7692307692307692,LDA,over,96,2,4,8,4.015304486767269,0.4,8,32,8,as
0,0.9459459459459459,0.8232323232323232,0.7272727272727272,0.8,0.6666666666666666,0.7692307692307692,SVM,over,97,2,4,8,1.1358651365134698,0.2,8,32,8,az
1,0.9009009009009009,0.797979797979798,0.5925925925925926,0.5333333333333333,0.6666666666666666,0.5555555555555556,XGB_untuned,over,92,7,4,8,0.0,0.0,8,32,8,az
2,0.9099099099099099,0.6565656565656566,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.5555555555555555,LDA,over,97,2,8,4,4.015304486767269,0.4,8,32,8,az
0,0.972972972972973,0.9482323232323232,0.8799999999999999,0.8461538461538461,0.9166666666666666,0.859375,SVM,over,97,2,1,11,7.932337585218177,0.6,8,32,8,dad
1,0.954954954954955,0.9381313131313131,0.8148148148148148,0.7333333333333333,0.9166666666666666,0.7638888888888888,XGB_untuned,over,95,4,1,11,4.015304486767269,0.4,8,32,8,dad
2,0.9459459459459459,0.8598484848484849,0.75,0.75,0.75,0.75,LDA,over,96,3,3,9,7.932337585218177,0.6,8,32,8,dad
0,1.0,1.0,1.0,1.0,1.0,1.0,SVM,over,99,0,0,12,1.1358651365134698,0.2,8,32,8,dkv
